time,open,high,low,close,volume,symbol
2006-01-19,2.25,2.25,2.25,2.25,109350,VNM
2006-01-20,2.34,2.34,2.3,2.3,157840,VNM
2006-01-23,2.3,2.3,2.23,2.23,81400,VNM
2006-01-24,2.23,2.23,2.21,2.21,66000,VNM
2006-01-25,2.21,2.25,2.21,2.25,57220,VNM
2006-01-26,2.27,2.27,2.27,2.27,18750,VNM
2006-01-27,2.25,2.25,2.25,2.25,25630,VNM
2006-02-06,2.25,2.25,2.25,2.25,25190,VNM
2006-02-07,2.3,2.3,2.3,2.3,138720,VNM
2006-02-08,2.34,2.34,2.34,2.34,159300,VNM
2006-02-09,2.34,2.34,2.34,2.34,153580,VNM
2006-02-10,2.3,2.34,2.3,2.34,128650,VNM
2006-02-13,2.34,2.34,2.34,2.34,153670,VNM
2006-02-14,2.34,2.34,2.34,2.34,113260,VNM
2006-02-15,2.34,2.34,2.32,2.32,132600,VNM
2006-02-16,2.34,2.34,2.34,2.34,184290,VNM
2006-02-17,2.38,2.44,2.38,2.44,128090,VNM
2006-02-20,2.55,2.55,2.55,2.55,62050,VNM
2006-02-21,2.68,2.68,2.68,2.68,101970,VNM
2006-02-22,2.76,2.76,2.68,2.68,264890,VNM
2006-02-23,2.72,2.72,2.72,2.72,130490,VNM
2006-02-24,2.74,2.74,2.74,2.74,90480,VNM
2006-02-27,2.76,2.78,2.76,2.78,162140,VNM
2006-02-28,2.81,2.91,2.81,2.91,164820,VNM
2006-03-01,3.04,3.04,3.02,3.02,164480,VNM
2006-03-02,3.04,3.06,3.04,3.06,222520,VNM
2006-03-03,3.02,3.02,2.91,2.91,227880,VNM
2006-03-06,2.89,2.98,2.89,2.98,200050,VNM
2006-03-07,2.98,2.98,2.98,2.98,129210,VNM
2006-03-08,2.93,2.93,2.89,2.89,163660,VNM
2006-03-09,2.93,2.93,2.91,2.91,206310,VNM
2006-03-10,2.93,2.93,2.91,2.91,125760,VNM
2006-03-13,2.98,2.98,2.98,2.98,257130,VNM
2006-03-14,3.0,3.02,3.0,3.02,223540,VNM
2006-03-15,3.02,3.02,2.93,2.93,201720,VNM
2006-03-16,3.02,3.02,2.98,2.98,171110,VNM
2006-03-17,2.98,3.02,2.98,3.02,189800,VNM
2006-03-20,3.02,3.06,3.02,3.06,320020,VNM
2006-03-21,3.1,3.12,3.1,3.12,266040,VNM
2006-03-22,3.19,3.19,3.12,3.12,173010,VNM
