Ngày,Giá_đóng_cửa_thực_tế,Giá_đóng_cửa_dự_đoán
2024-01-04,36.07,35.7698308956623
2024-01-05,36.77,35.98273471474647
2024-01-08,38.34,36.17205756247043
2024-01-09,38.06,36.47316986501217
2024-01-10,39.17,36.85508816480636
2024-01-11,38.43,37.3008607918024
2024-01-12,38.01,37.737953191995615
2024-01-15,38.51,38.0494299095869
2024-01-16,38.76,38.251845510601996
2024-01-17,38.72,38.38202321767807
2024-01-18,39.25,38.47243212461471
2024-01-19,41.2,38.58834445357322
2024-01-22,41.15,38.846824135184285
2024-01-23,40.82000000000001,39.203047468662255
2024-01-24,40.410000000000004,39.55803744375705
2024-01-25,40.0,39.8288343578577
2024-01-26,40.45,40.014454794526095
2024-01-29,40.25,40.114632460474965
2024-01-30,40.04,40.168704013228414
2024-01-31,39.42,40.16948420584201
2024-02-01,39.05,40.10577937662601
2024-02-02,38.76,39.94924330592155
2024-02-05,40.2,39.72936680734157
2024-02-06,40.32999999999999,39.58640468657016
2024-02-07,40.45,39.513699611425395
2024-02-15,40.45,39.528060761690135
2024-02-16,40.12,39.592760686874385
2024-02-19,40.739999999999995,39.66206001102924
2024-02-20,40.82000000000001,39.81262317001819
2024-02-21,41.11,39.97354373633861
2024-02-22,41.11,40.14325665295124
2024-02-23,42.97,40.3097063088417
2024-02-26,44.3,40.68784744858741
2024-02-27,43.8,41.15084271073341
2024-02-28,44.54,41.670999929308884
2024-02-29,43.8,42.210979646444315
2024-03-01,44.21,42.659228333830825
2024-03-04,44.21,43.02011647164821
2024-03-05,44.96,43.320186960101125
2024-03-06,44.96,43.548096639513965
2024-03-07,44.05,43.750451506972304
2024-03-08,42.23,43.8777303546667
2024-03-11,41.73,43.78594092726707
2024-03-12,42.97,43.49642172634601
2024-03-13,43.47,43.14477910459041
2024-03-14,42.72,42.866747889518734
2024-03-15,43.14,42.66110406637191
2024-03-18,42.97,42.487174839377396
2024-03-19,42.64,42.33716295421123
2024-03-20,43.8,42.20244190990924
2024-03-21,43.8,42.194794153571124
2024-03-22,44.79,42.28350252091884
2024-03-25,43.8,42.59223221302032
2024-03-26,43.8,42.84381162822246
2024-03-27,43.39,43.03091536521911
2024-03-28,43.47,43.136589418053624
2024-03-29,43.06000000000001,43.19089456140995
2024-04-01,43.06000000000001,43.178743178248396
2024-04-02,42.89,43.08796052634715
2024-04-03,42.150000000000006,42.947782805562014
2024-04-04,42.150000000000006,42.75147326290607
2024-04-05,41.489999999999995,42.523311305642125
2024-04-08,41.98,42.24536885499953
2024-04-09,43.55,41.9684215003252
2024-04-10,42.97,41.848776393532745
2024-04-11,43.8,41.83998637914657
2024-04-12,44.13,41.943983251452444
2024-04-15,41.07000000000001,42.1975224918127
2024-04-16,41.57000000000001,42.31701342880725
2024-04-17,39.75,42.24542024493217
2024-04-19,39.96,41.98446683883667
2024-04-22,41.400000000000006,41.55752628624439
2024-04-23,40.82000000000001,41.16407561838626
2024-04-24,41.32000000000001,40.837128195166585
2024-04-25,40.989999999999995,40.59667470037937
2024-04-26,40.660000000000004,40.428554871678344
2024-05-02,40.660000000000004,40.305760963559145
2024-05-03,40.660000000000004,40.213721594214434
2024-05-06,41.73,40.174471365213385
2024-05-07,41.32000000000001,40.236821368932716
2024-05-08,41.15,40.376006329655645
2024-05-09,40.910000000000004,40.53021350204944
2024-05-10,40.53,40.65907609403133
2024-05-13,40.160000000000004,40.71501403570175
2024-05-14,39.75,40.707036916613575
2024-05-15,40.160000000000004,40.62062240898609
2024-05-16,40.989999999999995,40.4893141233921
2024-05-17,40.78,40.438538534045215
2024-05-20,40.989999999999995,40.40691036641597
2024-05-21,41.32000000000001,40.44270345449447
2024-05-22,41.15,40.506616179347034
2024-05-23,40.910000000000004,40.62249580562114
2024-05-24,40.660000000000004,40.691734396219246
2024-05-27,40.410000000000004,40.720687951445576
2024-05-28,40.57999999999999,40.65485277593135
2024-05-29,40.160000000000004,40.56248404383659
2024-05-30,39.42,40.459159912466994
2024-05-31,38.92,40.28788661062717
2024-06-03,39.09,40.04780919671058
2024-06-04,39.34,39.80515995025634
2024-06-05,39.38,39.5730736708641
2024-06-06,39.57999999999999,39.397520989179604
2024-06-07,39.46,39.266422935128205
2024-06-10,39.38,39.184519062042234
2024-06-11,39.13,39.1561097729206
2024-06-12,39.57999999999999,39.13497215926647
2024-06-13,39.96,39.13258953511714
2024-06-14,39.25,39.18743660867214
2024-06-17,38.43,39.237630557417866
2024-06-18,38.43,39.20650928139686
2024-06-19,38.1,39.08154998838901
2024-06-20,37.6,38.91623324692249
2024-06-21,37.68,38.68136256754398
2024-06-24,37.19,38.412086328268046
2024-06-25,36.53,38.139544492363925
2024-06-26,36.77,37.83496804118156
2024-06-27,36.44,37.497282457947726
2024-06-28,35.74,37.18357962191104
2024-07-01,36.28,36.870201476812355
2024-07-02,37.81,36.562527614235876
2024-07-03,39.01,36.46833220362663
2024-07-04,39.09,36.63168911993503
2024-07-05,39.09,36.935646556019776
2024-07-08,38.84,37.37679175317287
2024-07-09,39.25,37.77036388814449
2024-07-10,38.76,38.15377950370311
2024-07-11,38.68,38.461509428024286
2024-07-12,38.51,38.66667906224727
2024-07-15,38.47,38.77108471810817
2024-07-16,38.96,38.79691750288009
2024-07-17,39.67,38.87055694043636
2024-07-18,40.07999999999999,39.09000129640102
2024-07-19,39.42,39.25655139625072
2024-07-22,39.42,39.3718517178297
2024-07-23,38.01,39.425341629981986
2024-07-24,38.1,39.32002263486385
2024-07-25,38.01,39.05881695091724
2024-07-26,38.22,38.738342323303215
2024-07-29,38.92,38.435770079493516
2024-07-30,38.68,38.22788145065307
2024-07-31,39.34,38.13813126921653
2024-08-01,38.68,38.189112418293945
2024-08-02,39.46,38.319883445501326
2024-08-05,38.1,38.42660632014274
2024-08-06,38.63,38.45800323307514
2024-08-07,38.34,38.457171650528906
2024-08-08,38.01,38.45075258076191
2024-08-09,38.59,38.386307269334786
2024-08-12,38.68,38.341894688010214
2024-08-13,38.55,38.33404370784759
2024-08-14,38.88,38.33869916856288
2024-08-15,38.55,38.39735143303871
2024-08-16,39.25,38.44611814320087
2024-08-19,39.57999999999999,38.55345302522182
2024-08-20,40.62,38.71664642810821
2024-08-21,41.81999999999999,39.00794558942317
2024-08-22,41.57000000000001,39.461036610007284
2024-08-23,41.73,39.910563037991516
2024-08-26,41.489999999999995,40.32022489368915
2024-08-27,40.989999999999995,40.66987732350826
2024-08-28,40.989999999999995,40.9260397863388
2024-08-29,40.739999999999995,41.02134008049964
2024-08-30,40.410000000000004,41.031496599912636
2024-09-04,40.45,40.94986602783202
2024-09-05,40.25,40.793175787329666
2024-09-06,40.739999999999995,40.60827948153018
2024-09-09,40.53,40.45139536082744
2024-09-10,40.07999999999999,40.306137044429775
2024-09-11,39.92,40.190063537955275
2024-09-12,39.96,40.038580031991
2024-09-13,39.82999999999999,39.899047021269794
2024-09-16,39.46,39.764550223946564
2024-09-17,40.25,39.64866125404834
2024-09-18,40.53,39.56880129873752
2024-09-19,40.7,39.5887966543436
2024-09-20,40.53,39.67113267004489
2024-09-23,40.25,39.827222582697864
2024-09-24,40.7,39.9394885623455
2024-09-25,41.32000000000001,40.0421960145235
2024-09-26,41.32000000000001,40.268755540251725
2024-09-27,41.400000000000006,40.50598548471927
2024-09-30,41.07000000000001,40.73004559099674
2024-10-01,41.07000000000001,40.85380189239978
2024-10-02,41.15,40.93312692523002
2024-10-03,40.910000000000004,40.94031917989253
2024-10-04,40.660000000000004,40.94500734329223
2024-10-07,40.53,40.85957158029079
2024-10-08,40.410000000000004,40.723056560158724
2024-10-09,40.87,40.56733104884624
2024-10-10,41.11,40.44433625280857
2024-10-11,40.82000000000001,40.397706896662704
2024-10-14,40.82000000000001,40.363042051196096
2024-10-15,41.32000000000001,40.34218241035938
2024-10-16,41.2,40.4883961123228
2024-10-17,41.57000000000001,40.55810422003269
2024-10-18,41.57000000000001,40.63888919413089
2024-10-21,41.03,40.77399799883365
2024-10-22,40.29,40.83294458746909
2024-10-23,40.0,40.81877264559268
2024-10-24,39.67,40.67621463656425
2024-10-25,39.25,40.443364515900605
2024-10-28,39.25,40.154961878061286
2024-10-29,39.3,39.84071010410785
2024-10-30,39.42,39.575376874208445
2024-10-31,39.46,39.349693313241
2024-11-01,39.46,39.200716234445565
2024-11-04,39.42,39.1009777188301
2024-11-05,39.17,39.04285336911678
2024-11-06,39.71,39.00590400755405
2024-11-07,39.34,39.00914390921592
2024-11-08,39.17,39.04924674391746
2024-11-11,38.43,39.09719588696956
2024-11-12,38.26,39.08171817362308
2024-11-13,38.14,38.97771896541118
2024-11-14,37.6,38.816693283319466
2024-11-15,36.94,38.605553073287005
2024-11-18,36.73,38.32602921426296
2024-11-19,36.86,37.998082023262974
2024-11-20,37.19,37.67349386513233
2024-11-21,37.48,37.417240301966665
2024-11-22,37.77,37.23216646730899
2024-11-25,37.64,37.15309604823589
2024-11-26,38.22,37.13317076981067
2024-11-27,38.3,37.20462613523006
2024-11-28,38.1,37.33795030772686
2024-11-29,38.63,37.505729094147675
2024-12-02,38.43,37.69721265494823
2024-12-03,38.06,37.90434678614139
2024-12-04,37.31,38.06400829911232
2024-12-05,38.01,38.14014715611934
2024-12-06,38.51,38.17645414352417
2024-12-09,38.59,38.23305081069469
2024-12-10,38.63,38.28732091546058
2024-12-11,38.51,38.35757796108722
2024-12-12,38.51,38.40174527227878
2024-12-13,38.34,38.4461858844757
2024-12-16,38.63,38.45091843008994
