Ngày,Giá_đóng_cửa_thực_tế,Giá_đóng_cửa_dự_đoán
2023-05-09,25.06,25.38171
2023-05-10,25.28,25.349737
2023-05-11,25.37,25.445948
2023-05-12,25.42,25.516768
2023-05-15,25.15,25.585402
2023-05-16,25.01,25.64738
2023-05-17,24.61,25.485268
2023-05-18,24.83,25.28606
2023-05-19,25.06,25.177235
2023-05-22,25.01,25.16302
2023-05-23,24.97,25.229141
2023-05-24,24.83,25.255545
2023-05-25,24.7,25.211685
2023-05-26,24.88,25.109241
2023-05-29,25.06,25.057781
2023-05-30,25.1,25.177221
2023-05-31,25.06,25.278786
2023-06-01,25.01,25.303833
2023-06-02,25.64,25.307844
2023-06-05,25.73,25.681652
2023-06-06,25.68,25.889502
2023-06-07,25.86,26.004969
2023-06-08,25.55,26.158356
2023-06-09,25.37,26.082426
2023-06-12,25.42,25.917435
2023-06-13,25.33,25.75596
2023-06-14,25.68,25.628279
2023-06-15,25.95,25.876131
2023-06-16,25.5,26.086386
2023-06-19,25.59,26.069965
2023-06-20,26.13,25.951323
2023-06-21,26.09,26.044512
2023-06-22,26.35,26.19855
2023-06-23,26.18,26.44126
2023-06-26,26.18,26.520092
2023-06-27,26.27,26.542982
2023-06-28,26.85,26.495111
2023-06-29,26.76,26.846067
2023-06-30,26.4,26.932251
2023-07-03,26.18,26.8549
2023-07-04,26.35,26.660135
2023-07-05,26.44,26.609486
2023-07-06,26.27,26.623152
2023-07-07,26.49,26.59739
2023-07-10,26.58,26.591242
2023-07-11,27.12,26.764668
2023-07-12,26.85,27.281033
2023-07-13,26.85,27.227982
2023-07-14,26.76,27.172157
2023-07-17,26.58,27.127693
2023-07-18,26.71,27.007713
2023-07-19,26.76,26.950462
2023-07-20,26.53,26.979607
2023-07-21,26.58,26.886377
2023-07-24,26.71,26.863577
2023-07-25,26.76,26.936659
2023-07-26,26.67,27.051275
2023-07-27,26.27,27.037899
2023-07-28,26.4,26.924534
2023-07-31,26.85,26.765121
2023-08-01,27.2,26.887367
2023-08-02,27.79,27.38007
2023-08-03,27.65,27.808706
2023-08-04,27.74,27.886475
2023-08-07,29.17,27.929647
2023-08-08,29.17,28.652447
2023-08-09,29.08,29.09494
2023-08-10,28.32,29.248514
2023-08-11,28.73,29.094917
2023-08-14,28.91,28.970743
2023-08-15,28.99,29.003393
2023-08-16,28.95,29.066483
2023-08-17,29.17,29.144283
2023-08-18,27.47,29.380169
2023-08-21,28.64,28.934113
2023-08-22,28.23,28.78403
2023-08-23,28.01,28.527401
2023-08-24,28.41,28.329376
2023-08-25,27.88,28.38672
2023-08-28,27.88,28.383753
2023-08-29,27.97,28.242508
2023-08-30,28.73,28.243504
2023-08-31,29.04,28.583666
2023-09-05,29.22,28.93193
2023-09-06,29.22,29.280226
2023-09-07,29.22,29.377504
2023-09-08,28.91,29.60724
2023-09-11,28.55,29.42935
2023-09-12,28.91,29.28078
2023-09-13,29.13,29.114946
2023-09-14,29.71,29.250591
2023-09-15,29.31,29.77878
2023-09-18,28.68,29.723988
2023-09-19,28.73,29.434626
2023-09-20,28.68,29.094103
2023-09-21,28.37,28.988731
2023-09-22,28.32,28.826107
2023-09-25,26.67,28.659147
2023-09-26,27.12,27.993221
2023-09-27,27.74,27.600868
2023-09-28,27.61,27.559938
2023-09-29,26.89,27.511164
2023-10-02,26.8,27.419188
2023-10-03,26.04,27.041332
2023-10-04,25.86,26.723679
2023-10-05,25.15,26.322824
2023-10-06,25.68,25.951694
2023-10-09,26.09,25.770761
2023-10-10,26.22,25.909498
2023-10-11,26.4,26.191233
2023-10-12,26.49,26.367655
2023-10-13,26.22,26.574879
2023-10-16,25.77,26.554356
2023-10-17,25.59,26.391796
2023-10-18,25.37,26.1968
2023-10-19,25.59,25.936893
2023-10-20,26.31,25.800447
2023-10-23,26.22,26.035471
2023-10-24,26.4,26.191233
2023-10-25,25.95,26.39931
2023-10-26,25.37,26.381195
2023-10-27,25.24,26.05383
2023-10-30,24.74,25.739357
2023-10-31,24.79,25.374372
2023-11-01,24.52,25.189865
2023-11-02,25.28,24.985441
2023-11-03,25.06,25.145653
2023-11-06,25.55,25.288256
2023-11-07,25.55,25.533144
2023-11-08,26.18,25.676594
2023-11-09,26.4,25.968819
2023-11-10,26.31,26.387888
2023-11-13,26.31,26.497585
2023-11-14,26.67,26.57777
2023-11-15,27.03,26.812834
2023-11-16,27.07,27.166878
2023-11-17,26.58,27.227856
2023-11-20,26.44,27.138618
2023-11-21,26.31,26.87949
2023-11-22,26.49,26.743889
2023-11-23,26.13,26.695848
2023-11-24,26.49,26.585598
2023-11-27,26.31,26.562725
2023-11-28,26.22,26.52577
2023-11-29,26.31,26.445814
2023-11-30,26.3,26.499414
2023-12-01,26.3,26.562511
2023-12-04,26.55,26.539045
2023-12-05,26.5,26.764574
2023-12-06,26.65,26.774101
2023-12-07,26.9,26.836506
2023-12-08,26.9,27.035355
2023-12-11,26.85,27.111115
2023-12-12,27.0,27.10352
2023-12-13,26.75,27.160099
2023-12-14,26.75,27.177193
2023-12-15,26.7,27.110167
2023-12-18,26.05,27.02496
2023-12-19,26.5,26.758017
2023-12-20,26.55,26.635384
2023-12-21,26.55,26.638405
2023-12-22,26.45,26.668179
2023-12-25,26.9,26.678514
2023-12-26,26.8,26.894985
2023-12-27,26.85,27.017145
2023-12-28,27.1,27.078106
2023-12-29,27.1,27.186573
2024-01-02,27.2,27.359503
2024-01-03,27.6,27.416403
2024-01-04,28.6,27.571705
2024-01-05,29.0,28.43969
2024-01-08,29.55,28.932262
2024-01-09,30.0,29.525732
2024-01-10,31.0,30.029436
2024-01-11,31.0,30.659988
2024-01-12,31.499999999999996,30.991423
2024-01-15,31.4,31.520823
2024-01-16,31.4,31.519964
2024-01-17,31.15,31.494122
2024-01-18,31.499999999999996,31.44329
2024-01-19,32.6,31.551931
2024-01-22,32.65,32.178837
2024-01-23,32.2,32.440945
2024-01-24,32.0,32.512287
2024-01-25,32.05,32.342716
2024-01-26,32.1,32.210884
2024-01-29,32.3,32.192314
2024-01-30,32.2,32.365746
2024-01-31,31.6,32.35984
2024-02-01,32.05,32.326237
2024-02-02,31.699999999999996,32.156536
2024-02-05,33.9,32.011326
2024-02-06,34.4,33.091297
2024-02-07,35.5,33.739834
2024-02-15,35.0,34.79445
2024-02-16,35.25,35.11805
