Ngày,Giá_đóng_cửa_thực_tế,Giá_đóng_cửa_dự_đoán
2025-03-03,64170.24207934824,63506.018006666454
2025-03-04,63542.99171488853,63938.670514739955
2025-03-05,63453.38451996571,63769.93674863099
2025-03-06,63005.34482319516,63508.307582594054
2025-03-09,63005.34482319516,63232.64877918413
2025-03-10,62646.9160435039,63034.16157490822
2025-03-11,63094.95201811798,62660.90299894053
2025-03-12,63453.38451996571,62865.79978815907
2025-03-13,62915.74135042882,63270.04559521983
2025-03-16,63363.777325042895,63017.94425694382
2025-03-17,64170.24207934824,63161.39202016764
2025-03-18,63901.42421673626,64028.4096145554
2025-03-19,63722.20982689063,64022.48127023669
2025-03-20,62915.74135042882,63740.879390652226
2025-03-23,62467.70165365827,63286.79694295824
2025-03-24,62467.70165365827,62784.020801112834
2025-03-25,62736.523238426715,62560.36790410776
2025-03-26,62467.70165365827,62675.29356678147
2025-03-27,62109.26915181053,62585.36540814948
2025-03-30,62109.26915181053,62304.01765307816
2025-03-31,62736.523238426715,61963.56692005375
2025-04-01,62378.09445873545,62315.91976493773
2025-04-02,58256.14488150358,62333.47645412842
2025-04-03,54851.05658581069,60174.92196935465
2025-04-07,51177.14298319288,57149.175563232406
2025-04-08,47772.0546875,53980.01576821663
2025-04-09,50908.321398424436,51308.698170996366
2025-04-10,54313.40969411732,50636.43693839444
2025-04-13,55299.09256042476,51980.19825771351
2025-04-14,54403.02061119661,54046.87261295724
2025-04-15,54313.40969411732,54883.63588607969
2025-04-16,54313.40969411732,54828.646778868366
2025-04-17,54582.23127888577,54553.73070652343
2025-04-20,54313.40969411732,54691.32624001702
2025-04-21,53775.76280242395,54676.55018861508
2025-04-22,53775.76280242395,54071.49445467519
2025-04-23,53775.76280242395,54024.52316000175
2025-04-24,54671.84219596506,54099.8680090123
2025-04-27,54582.23127888577,54438.84555645326
2025-04-28,54492.62408396295,54715.49262185875
2025-05-04,54671.84219596506,54832.16032648488
2025-05-05,55657.5250622725,54896.10640204354
2025-05-06,56463.993538734314,55365.38475903074
2025-05-07,57270.46201519612,56213.18587513714
2025-05-08,57001.63670827121,57061.88440679479
2025-05-11,58076.93049165794,57422.2329664329
2025-05-12,57808.108906889494,57901.50504612179
2025-05-13,57718.4979898102,58161.05517900409
2025-05-14,57808.108906889494,58160.41188796599
2025-05-15,57628.89079488739,58076.874899456845
2025-05-18,56643.20792857994,57936.947435950126
2025-05-19,56463.993538734314,57437.499465868656
2025-05-20,56284.775426732216,56945.78572010026
2025-05-21,56912.02951334839,56697.90383086616
2025-05-22,58704.180856117644,56884.637469495494
2025-05-25,58704.180856117644,57882.18790015889
2025-05-26,59331.43494273383,58437.84465234931
2025-05-27,59689.8637224251,59070.95843338054
2025-05-28,59600.25652750228,59769.83890182063
2025-05-29,60496.33592104338,59853.50356641367
2025-06-01,60944.37189565745,60321.94834589158
2025-06-02,61213.19720258238,60648.52780899322
2025-06-03,60317.11780904127,61071.47693469044
2025-06-04,59421.04213765665,60864.05117688699
2025-06-05,58704.180856117644,60154.88664541982
2025-06-08,58973.00616304257,59397.416358671544
2025-06-09,58614.57366119483,59143.25501588801
2025-06-10,58345.75207642639,58940.4882074922
2025-06-11,58524.97018842849,58707.467077831076
2025-06-12,59958.68902935001,58698.40944180221
