Ngày,Giá_đóng_cửa_thực_tế,Giá_đóng_cửa_dự_đoán
2023-02-07,14.96,16.12465
2023-02-08,15.79,15.737182
2023-02-09,15.61,15.570815
2023-02-10,15.53,15.709341
2023-02-13,15.3,15.715245
2023-02-14,15.61,15.527842
2023-02-15,15.76,15.49326
2023-02-16,16.14,15.574141
2023-02-17,15.91,15.787725
2023-02-20,16.59,15.977609
2023-02-21,16.36,16.143581
2023-02-22,16.06,16.379389
2023-02-23,16.29,16.355759
2023-02-24,15.76,16.197374
2023-02-27,15.23,16.09054
2023-02-28,15.15,15.697959
2023-03-01,15.83,15.453703
2023-03-02,15.61,15.424214
2023-03-03,15.42,15.614952
2023-03-06,15.45,15.672725
2023-03-07,15.98,15.637897
2023-03-08,16.06,15.684476
2023-03-09,16.06,15.840007
2023-03-10,16.14,15.999686
2023-03-13,15.98,16.079481
2023-03-14,15.38,16.055565
2023-03-15,16.14,15.819712
2023-03-16,15.79,15.824501
2023-03-17,15.45,15.827871
2023-03-20,15.15,15.763301
2023-03-21,15.49,15.57409
2023-03-22,15.38,15.442993
2023-03-23,15.45,15.434384
2023-03-24,15.45,15.415405
2023-03-27,15.76,15.430611
2023-03-28,15.68,15.515135
2023-03-29,15.76,15.664105
2023-03-30,15.76,15.739293
2023-03-31,15.76,15.790491
2023-04-03,15.91,15.745614
2023-04-04,15.98,15.807358
2023-04-05,16.29,15.908217
2023-04-06,16.29,16.027294
2023-04-07,16.06,16.20721
2023-04-10,15.68,16.250698
2023-04-11,15.76,16.063168
2023-04-12,15.72,15.880832
2023-04-13,15.49,15.787067
2023-04-14,15.64,15.677512
2023-04-17,15.79,15.640228
2023-04-18,15.87,15.679846
2023-04-19,15.76,15.762342
2023-04-20,15.76,15.81401
2023-04-21,15.68,15.796861
2023-04-24,15.64,15.730842
2023-04-25,15.95,15.663955
2023-04-26,16.67,15.719727
2023-04-27,16.44,15.996491
2023-04-28,16.4,16.331602
2023-05-04,16.14,16.434929
2023-05-05,16.25,16.326834
2023-05-08,16.36,16.245068
2023-05-09,16.51,16.273005
2023-05-10,16.44,16.375195
2023-05-11,16.48,16.480755
2023-05-12,16.93,16.500399
2023-05-15,16.74,16.549763
2023-05-16,16.67,16.774231
2023-05-17,16.51,16.80907
2023-05-18,16.63,16.698885
2023-05-19,16.51,16.658482
2023-05-22,16.59,16.628998
2023-05-23,16.44,16.6058
2023-05-24,16.14,16.571218
2023-05-25,16.06,16.447044
2023-05-26,15.98,16.28424
2023-05-29,16.25,16.117687
2023-05-30,16.17,16.119095
2023-05-31,16.06,16.168625
2023-06-01,16.21,16.161257
2023-06-02,16.36,16.12924
2023-06-05,16.4,16.201046
2023-06-06,16.48,16.343575
