Ngày,Giá_đóng_cửa_thực_tế,Giá_đóng_cửa_dự_đoán
2024-01-29,43.62,43.859528
2024-01-30,44.4,43.649284
2024-01-31,44.01,44.119675
2024-02-01,45.18,44.500957
2024-02-02,46.36,45.266045
2024-02-05,46.36,46.36662
2024-02-06,45.97,46.45883
2024-02-07,45.58,46.005615
2024-02-15,44.84,45.64367
2024-02-16,45.28,45.50205
2024-02-19,45.77,45.353207
2024-02-20,45.77,45.771408
2024-02-21,45.09,45.924267
2024-02-22,44.3,45.548508
2024-02-23,43.03,45.18811
2024-02-26,43.37,44.70468
2024-02-27,43.77,44.047478
2024-02-28,44.3,44.073624
2024-02-29,45.18,44.606503
2024-03-01,45.58,45.559288
2024-03-04,46.36,45.9621
2024-03-05,48.89999999999999,46.52447
2024-03-06,47.63000000000001,48.515568
2024-03-07,47.92,48.20962
2024-03-08,46.7,47.28183
2024-03-11,45.38,47.234932
2024-03-12,45.72,46.211918
2024-03-13,47.48,45.98601
2024-03-14,46.21,46.46693
2024-03-15,46.31000000000001,46.530186
2024-03-18,44.89,45.950863
2024-03-19,44.5,45.336773
2024-03-20,46.94,44.69141
2024-03-21,47.43,46.614323
2024-03-22,48.02,47.452305
2024-03-25,47.24,47.610435
2024-03-26,47.57999999999999,47.49547
2024-03-27,49.59,47.159836
2024-03-28,49.88,48.73276
2024-03-29,49.98,49.981247
2024-04-01,50.27,50.160305
2024-04-02,50.47,50.417915
2024-04-03,49.1,50.230293
2024-04-04,49.59,49.746487
2024-04-05,49.88,49.401844
2024-04-08,48.89999999999999,49.286327
2024-04-09,51.64,48.82973
2024-04-10,50.86,50.92514
2024-04-11,51.15,51.273018
2024-04-12,50.86,50.50578
2024-04-15,48.8,50.47644
2024-04-16,48.8,49.904873
2024-04-17,48.31,49.07947
2024-04-19,47.14,48.505966
2024-04-22,47.53,47.68094
2024-04-23,48.71,47.94953
2024-04-24,51.15,49.180664
2024-04-25,52.62,50.34804
2024-04-26,53.68999999999999,52.123577
2024-05-02,54.38,52.863937
2024-05-03,54.47999999999999,54.650482
2024-05-06,57.02,55.6952
2024-05-07,58.00000000000001,55.717648
2024-05-08,57.8,56.37513
2024-05-09,57.6,56.60755
2024-05-10,57.6,56.97541
2024-05-13,57.02,56.86597
2024-05-14,58.78,56.751423
2024-05-15,59.46,58.466488
2024-05-16,58.58,59.685837
2024-05-17,58.29,58.958652
2024-05-20,58.68,58.1353
2024-05-21,59.17,58.674744
2024-05-22,59.66,58.826725
2024-05-23,60.64000000000001,59.1954
2024-05-24,59.17,59.95463
2024-05-27,58.68,59.46334
2024-05-28,60.15,58.617016
2024-05-29,59.17,59.91343
2024-05-30,61.42,59.620785
2024-05-31,62.2,60.49771
2024-06-03,62.59,62.095047
2024-06-04,62.4,62.212337
2024-06-05,60.64000000000001,61.915363
2024-06-06,60.54,61.304802
2024-06-07,60.73,60.771824
2024-06-10,61.61,60.604034
2024-06-11,60.93,61.103783
2024-06-12,62.01,61.09526
2024-06-13,62.59,61.52834
2024-06-14,61.61,62.58465
2024-06-17,60.64000000000001,62.25628
2024-06-18,60.83,61.058277
2024-06-19,61.910000000000004,60.94124
2024-06-20,62.1,61.67332
2024-06-21,62.1,61.874393
2024-06-24,60.64000000000001,61.964844
2024-06-25,60.64000000000001,61.433228
2024-06-26,61.22,60.931763
2024-06-27,62.01,61.200798
2024-06-28,61.51,61.795982
2024-07-01,64.87,61.50506
2024-07-02,65.06,64.5575
2024-07-03,64.57,64.861336
2024-07-04,64.18,64.1185
2024-07-05,64.67,63.95906
2024-07-08,66.05,64.51019
2024-07-09,65.85,65.79385
2024-07-10,64.27,65.8162
2024-07-11,63.88,64.870056
2024-07-12,63.88,64.28262
2024-07-15,63.39,64.10948
2024-07-16,63.19,63.429592
2024-07-17,62.6,63.574696
2024-07-18,64.08,63.541985
