Ngày,Giá_đóng_cửa_thực_tế,Giá_đóng_cửa_dự_đoán
2025-07-11,66.94,65.72916064679623
2025-07-14,68.02,65.71134136974811
2025-07-15,68.32,67.15914678037166
2025-07-16,69.01,66.96275282919407
2025-07-17,69.5,67.56351764678955
2025-07-18,69.7,67.88244625151157
2025-07-21,69.01,67.58203129410744
2025-07-22,69.4,67.32691965699196
2025-07-23,69.5,67.85260134935379
2025-07-24,69.5,67.88052805364131
2025-07-25,70.1,68.16440397918224
2025-07-28,70.2,68.3516973400116
2025-07-29,66.6,66.50165191173554
2025-07-30,67.1,65.74317390680312
2025-07-31,65.3,65.0452276301384
2025-08-01,65.2,64.55394330501557
2025-08-04,67.0,64.9484671330452
2025-08-05,69.3,66.40082934856414
2025-08-06,72.4,68.29956749200821
2025-08-07,72.4,69.89283045470714
2025-08-08,72.0,69.41995128154754
2025-08-11,72.1,69.75798374831676
