Ngày,Giá_đóng_cửa_thực_tế,Giá_đóng_cửa_dự_đoán
2023-05-04,49.76,51.20735447406768
2023-05-05,50.49,51.269403088092794
2023-05-08,52.29,51.33266474008559
2023-05-09,51.9,51.471318423748
2023-05-10,51.73,51.68692922592162
2023-05-11,51.17,51.91850085258483
2023-05-12,52.18,52.124805319309225
2023-05-15,51.56,52.31921283006667
2023-05-16,52.07,52.490909361839286
2023-05-17,52.18,52.64785428047179
2023-05-18,53.42,52.80283614397048
2023-05-19,52.97,52.981960141658774
2023-05-22,52.35,53.15773202180861
2023-05-23,52.18,53.29868167638777
2023-05-24,52.07,53.403856277465806
2023-05-25,52.4,53.46921874284743
2023-05-26,51.73,53.50957043170928
2023-05-29,52.35,53.52581825256347
2023-05-30,53.14,53.54300359487532
2023-05-31,52.85,53.57949805259703
2023-06-01,52.8,53.629959666728965
2023-06-02,53.36,53.69091004133223
2023-06-05,55.1,53.76571277379988
2023-06-06,55.67,53.927731788158404
2023-06-07,54.54,54.16889292001723
2023-06-08,56.23,54.436882472038256
2023-06-09,56.51,54.74627220630644
2023-06-12,56.79,55.10529700517653
2023-06-13,57.63,55.461769449710836
2023-06-14,57.69,55.84449632167815
2023-06-15,58.2,56.255356490612016
2023-06-16,59.04,56.66330842971801
2023-06-19,57.18,57.10035032033919
2023-06-20,56.17,57.45249103307723
2023-06-21,56.23,57.66169224977492
2023-06-22,56.45,57.76093941926955
2023-06-23,56.17,57.80501440763472
2023-06-26,56.23,57.7861109137535
2023-06-27,56.23,57.72573453187941
2023-06-28,56.85,57.65354155302047
2023-06-29,57.3,57.596494328975666
2023-06-30,56.23,57.58779259920119
2023-07-03,56.23,57.56618751287459
2023-07-04,56.23,57.52975810766219
2023-07-05,57.35,57.49669612646102
2023-07-06,56.62,57.49469097852705
2023-07-07,59.04,57.50216819047927
2023-07-10,57.75,57.56769902706145
2023-07-11,57.91,57.681039631366716
2023-07-12,58.48,57.80527079105376
2023-07-13,58.98,57.954038226604446
2023-07-14,59.04,58.14000421762465
2023-07-17,58.93,58.34022818803786
2023-07-18,58.65,58.53812557458876
2023-07-19,59.88,58.718060815334304
2023-07-20,59.04,58.91140452623366
2023-07-21,59.04,59.0665624141693
2023-07-24,58.81,59.186010301113114
2023-07-25,60.9,59.2826017975807
2023-07-26,62.03,59.44758644104002
2023-07-27,61.56,59.69275786876677
2023-07-28,61.76,59.98415101766585
2023-07-31,60.83,60.27033613920211
2023-08-01,60.56,60.519954097270954
2023-08-02,60.76,60.7101944208145
2023-08-03,60.17,60.84220126867293
2023-08-04,59.83,60.91286742687224
2023-08-07,60.3,60.92157298326491
2023-08-08,60.23,60.89240649938582
2023-08-09,59.9,60.846422028541554
2023-08-10,58.77,60.78459153175353
2023-08-11,60.03,60.667393696308125
2023-08-14,59.1,60.53721214532851
2023-08-15,59.04,60.40650252103804
2023-08-16,59.24,60.267737865447984
2023-08-17,59.37,60.13488533496855
2023-08-18,59.44,60.01986867189406
2023-08-21,59.63,59.93009620904921
2023-08-22,58.71,59.866099846363056
2023-08-23,57.31,59.781347906589495
2023-08-24,57.78,59.630594456195816
2023-08-25,57.24,59.44693974256514
2023-08-28,57.78,59.24153835773467
2023-08-29,58.71,59.050804400444015
2023-08-30,59.17,58.91652071475981
2023-08-31,59.17,58.87202862501143
2023-09-05,59.83,58.88394088745116
2023-09-06,59.9,58.963507759571065
2023-09-07,59.44,59.08993922471999
2023-09-08,59.44,59.230207741260514
2023-09-11,58.77,59.35418251752852
2023-09-12,59.7,59.43643184900282
2023-09-13,59.17,59.51615178585051
2023-09-14,59.17,59.58303341865538
2023-09-15,59.63,59.616148972511276
2023-09-18,58.97,59.644906008243545
2023-09-19,58.51,59.65216892957686
2023-09-20,58.44,59.59554263353346
2023-09-21,57.78,59.50399844646453
2023-09-22,59.3,59.390527737140644
2023-09-25,59.3,59.284182190895066
2023-09-26,57.78,59.2308544397354
2023-09-27,58.31,59.160968911647785
2023-09-28,58.44,59.09293929338454
2023-09-29,58.11,59.02449640035628
2023-10-02,57.44,58.969041049480424
2023-10-03,57.31,58.89326252937315
2023-10-04,57.31,58.790873706340776
2023-10-05,56.12,58.66552517414092
2023-10-06,56.71,58.49563097953795
2023-10-09,56.18,58.29278960227965
2023-10-10,57.18,58.08575807809829
2023-10-11,57.44,57.91853868961333
2023-10-12,57.11,57.81806317567824
2023-10-13,57.51,57.76057589054106
2023-10-16,57.18,57.7371072411537
2023-10-17,57.04,57.73422197103499
2023-10-18,57.04,57.74181780815123
2023-10-19,56.12,57.74048614501952
2023-10-20,56.31,57.69892141818999
2023-10-23,56.12,57.60184011459349
2023-10-24,57.11,57.47003990411757
2023-10-25,56.98,57.3805659174919
2023-10-26,56.12,57.32823308706282
2023-10-27,56.45,57.26968965530394
2023-10-30,57.04,57.21352638006209
2023-10-31,57.64,57.17483927011489
2023-11-01,58.31,57.19686911106108
2023-11-02,59.1,57.29271441698073
2023-11-03,59.04,57.461996352672564
2023-11-06,59.44,57.69908213615416
2023-11-07,58.64,57.98042658567427
2023-11-08,59.44,58.25294685363768
2023-11-09,58.37,58.509789466857896
2023-11-10,57.11,58.72165018320082
2023-11-13,56.78,58.81417781114577
2023-11-14,57.11,58.79994279146193
2023-11-15,58.24,58.72885187864302
2023-11-16,58.44,58.66726628541945
2023-11-17,56.85,58.61655594110488
2023-11-20,57.18,58.535527300834644
2023-11-21,57.51,58.42882587909697
2023-11-22,57.58,58.3377294063568
2023-11-23,56.78,58.25836151838301
2023-11-24,57.11,58.180409479141225
2023-11-27,56.98,58.097766005992874
2023-11-28,56.98,58.020464491844166
2023-11-29,56.51,57.94353033304213
2023-11-30,56.25,57.86780921220778
2023-12-01,56.45,57.78070007562636
2023-12-04,57.11,57.681338107585894
2023-12-05,56.71,57.6146860718727
2023-12-06,57.04,57.56454206705092
2023-12-07,56.58,57.53558987379073
2023-12-08,56.45,57.516403210163105
2023-12-11,55.92,57.49588488340377
2023-12-12,55.92,57.44786465167998
2023-12-13,55.58,57.378771233558645
2023-12-14,56.05,57.28853574991225
2023-12-15,54.59,57.204089939594255
2023-12-18,54.12,57.06795417070388
2023-12-19,53.92,56.869700908660874
2023-12-20,53.86,56.606861984729754
2023-12-21,53.72,56.32565912008285
2023-12-22,53.72,56.04089750051497
2023-12-25,54.32,55.77447303533553
2023-12-26,54.99,55.559658169746385
2023-12-27,54.92,55.43861840963363
2023-12-28,54.99,55.39889428615569
2023-12-29,53.33,55.41333211660384
2024-01-02,55.45,55.40182164907454
2024-01-03,56.12,55.44156490564345
2024-01-04,57.04,55.542763650417314
2024-01-05,57.24,55.72497955560683
2024-01-08,57.64,55.9817839026451
2024-01-09,58.31,56.29514566659926
2024-01-10,59.44,56.65152627229689
2024-01-11,59.3,57.05051244497298
2024-01-12,58.9,57.48044830560683
2024-01-15,59.77,57.865804064273824
2024-01-16,59.77,58.24675155878066
2024-01-17,60.37,58.59801214933394
2024-01-18,60.5,58.92593419551848
2024-01-19,61.49,59.242414653301225
2024-01-22,61.1,59.56557255983351
2024-01-23,60.76,59.9020777106285
2024-01-24,60.5,60.17901006937026
2024-01-25,60.43,60.40433665513991
2024-01-26,61.1,60.57465177774428
2024-01-29,60.56,60.72672158479689
2024-01-30,60.43,60.836224091053
2024-01-31,58.77,60.887546694278704
2024-02-01,59.63,60.83815270662306
2024-02-02,59.97,60.72489246129988
2024-02-05,59.77,60.611042916774736
2024-02-06,59.44,60.504697370529165
2024-02-07,59.77,60.39379814863204
2024-02-15,59.7,60.29830106496809
2024-02-16,59.5,60.21452108621596
2024-02-19,59.9,60.14605140686034
2024-02-20,60.63,60.09868170022963
2024-02-21,60.56,60.08730899095534
2024-02-22,59.44,60.121936058998095
2024-02-23,59.04,60.138049948215475
2024-02-26,59.44,60.126087939739215
2024-02-27,60.5,60.09260503053664
2024-02-28,64.68,60.08342114686965
2024-02-29,64.62,60.220789086818684
2024-03-01,64.62,60.58962916135787
2024-03-04,63.75,61.01974869966506
2024-03-05,63.42,61.46565686464309
2024-03-06,63.49,61.87035617828368
2024-03-07,63.62,62.22324690818785
2024-03-08,63.15,62.530225872993455
2024-03-11,62.49,62.76270440816878
2024-03-12,62.69,62.900160360336294
2024-03-13,63.75,62.962465357780445
2024-03-14,63.09,63.01083763837813
2024-03-15,62.42,63.03225904703139
2024-03-18,61.76,63.00301603078841
2024-03-19,61.43,62.90688372850417
2024-03-20,61.89,62.76156790256499
2024-03-21,63.22,62.611958611011495
2024-03-22,64.02,62.528905689716325
2024-03-25,63.55,62.53336369991301
2024-03-26,63.95,62.56223553419112
2024-03-27,63.62,62.64452313184737
2024-03-28,63.55,62.745982086658465
2024-03-29,63.02,62.8523544192314
2024-04-01,63.22,62.92877198457717
2024-04-02,62.76,62.980959403514845
2024-04-03,62.29,62.98750292062758
2024-04-04,63.75,62.95170873403548
2024-04-05,63.02,62.93372362852095
2024-04-08,63.02,62.90524593591689
2024-04-09,62.62,62.87451436519621
2024-04-10,62.76,62.83997913599013
2024-04-11,62.42,62.79865548610686
2024-04-12,62.82,62.74033399820326
2024-04-15,61.1,62.693890333175645
2024-04-16,60.43,62.603555357456194
2024-04-17,60.1,62.430649614334094
2024-04-19,60.1,62.181923258304586
2024-04-22,60.17,61.89811064004897
2024-04-23,59.83,61.626015126705155
2024-04-24,60.17,61.35256499052046
2024-04-25,60.43,61.11614121198653
2024-04-26,60.56,60.939749419689164
2024-05-02,61.03,60.83279544115065
2024-05-03,61.43,60.77873297929762
2024-05-06,61.76,60.791927158832536
2024-05-07,61.69,60.8667222380638
2024-05-08,61.76,60.98544689416884
2024-05-09,61.43,61.102304160594926
2024-05-10,61.1,61.2130311846733
2024-05-13,60.43,61.2926707625389
2024-05-14,60.17,61.312102329730976
2024-05-15,60.43,61.279178106784805
2024-05-16,61.49,61.224300575256336
2024-05-17,60.96,61.199083161354054
2024-05-20,61.03,61.18402541875838
2024-05-21,60.5,61.18262487649916
2024-05-22,60.23,61.15442270040511
2024-05-23,60.43,61.10441645383833
2024-05-24,59.9,61.04068030118941
2024-05-27,59.9,60.951684641838064
2024-05-28,60.23,60.840976750850665
2024-05-29,59.63,60.73389649391173
2024-05-30,58.84,60.630581629276264
2024-05-31,57.91,60.485966074466695
2024-06-03,58.57,60.27566661834715
2024-06-04,58.9,60.060166788101185
2024-06-05,58.97,59.87323266267775
2024-06-06,59.1,59.726397669315325
2024-06-07,58.77,59.623071324825275
2024-06-10,58.44,59.54584251642226
2024-06-11,57.91,59.470886719226826
2024-06-12,58.9,59.36951195001601
2024-06-13,58.71,59.278449916839584
2024-06-14,58.11,59.22564258575438
2024-06-17,57.84,59.1724678993225
2024-06-18,57.84,59.098151147365556
2024-06-19,57.51,59.0237769961357
2024-06-20,57.11,58.931142222881306
2024-06-21,57.11,58.80084204673766
2024-06-24,56.78,58.65320729017257
2024-06-25,56.78,58.504187297821034
2024-06-26,56.58,58.357960736751544
2024-06-27,56.58,58.214799296855915
2024-06-28,56.58,58.079704368114456
2024-07-01,57.18,57.95920033454894
2024-07-02,58.57,57.87139092683791
2024-07-03,58.77,57.86989471912383
2024-07-04,58.44,57.95090039968489
2024-07-05,58.44,58.08289959430693
2024-07-08,57.91,58.23257776498793
2024-07-09,58.51,58.363620305061325
2024-07-10,58.84,58.47665477991103
2024-07-11,58.51,58.60719603300093
2024-07-12,58.17,58.732288181781755
2024-07-15,58.11,58.82836691141127
2024-07-16,58.37,58.89454061985015
2024-07-17,58.44,58.94560301303862
2024-07-18,58.44,58.99049307107924
2024-07-19,58.11,59.0199656844139
2024-07-22,58.24,59.03157181739806
2024-07-23,58.11,59.02684594392775
2024-07-24,58.11,59.01523598432539
