Ngày,Giá_đóng_cửa_thực_tế,Giá_đóng_cửa_dự_đoán
2021-12-16,82822.83105022831,82507.60815441608
2021-12-17,85103.19634703196,82528.19646596909
2021-12-20,84066.66666666667,82687.21754550934
2021-12-21,86657.99086757991,82880.79760074615
2021-12-22,86347.03196347032,83182.74958133698
2021-12-23,83030.13698630137,83545.88334262371
2021-12-27,83341.09589041096,83828.33755016327
2021-12-28,83341.09589041096,83980.21533191204
2021-12-29,82200.91324200913,84059.17383730412
2021-12-30,82097.2602739726,84044.42180097103
2021-12-31,82511.87214611872,83939.71319198608
2022-01-04,85725.11415525114,83790.4332190752
2022-01-05,84584.93150684932,83763.82867991924
2022-01-06,85932.4200913242,83805.82591295242
2022-01-07,86036.07305936073,83922.5635945797
2022-01-10,86036.07305936073,84091.32578074932
2022-01-11,84170.31963470319,84313.16174268723
2022-01-12,84170.31963470319,84470.36435604095
2022-01-13,82719.17808219178,84541.02746248245
2022-01-14,82719.17808219178,84517.24465787411
2022-01-18,77329.22374429223,84397.52220213413
2022-01-19,77951.14155251141,84038.55846524239
2022-01-20,78987.67123287672,83518.76938939095
2022-01-21,79816.89497716895,82979.18081581593
2022-01-24,76500.0,82465.83146452904
2022-01-25,81475.34246575342,81928.96619290113
2022-01-26,81682.64840182647,81554.17950004339
2022-01-27,81475.34246575342,81300.1550629735
2022-01-28,80749.77168949772,81160.20115613937
2022-01-31,80749.77168949772,81082.46240317822
2022-02-07,82719.17808219178,81031.6102951765
2022-02-08,81682.64840182647,81109.56147313118
2022-02-09,81993.60730593606,81232.94521570206
2022-02-10,80542.46575342465,81430.63339442015
2022-02-11,80127.85388127854,81572.38411903381
2022-02-14,78469.40639269406,81631.74371272326
2022-02-15,78469.40639269406,81578.31882685423
2022-02-16,80438.81278538813,81420.1609775424
2022-02-17,81268.03652968036,81299.78636354208
2022-02-18,80127.85388127854,81235.80551147461
2022-02-22,79713.24200913242,81178.81337404251
2022-02-23,79816.89497716895,81101.67840868235
2022-02-24,78987.67123287672,81038.25838565826
2022-02-25,78676.71232876713,80948.88462871313
2022-02-28,77847.48858447488,80836.58588528633
2022-03-01,78365.75342465754,80685.14107167721
2022-03-02,77847.48858447488,80518.1990429759
