Ngày,Giá_đóng_cửa_thực_tế,Giá_đóng_cửa_dự_đoán
2023-01-30,57.7,57.800274
2023-01-31,57.1,58.593403
2023-02-01,55.2,59.01413
2023-02-02,55.8,58.878643
2023-02-03,56.0,58.44663
2023-02-06,56.0,57.99704
2023-02-07,55.0,57.57389
2023-02-08,54.4,57.148422
2023-02-09,54.2,56.623726
2023-02-10,54.0,56.056725
2023-02-13,53.4,55.53022
2023-02-14,52.9,55.054714
2023-02-15,52.9,54.561283
2023-02-16,53.4,54.11575
2023-02-17,53.5,53.87673
2023-02-20,54.1,53.829662
2023-02-21,54.3,54.081276
2023-02-22,53.0,54.528404
2023-02-23,53.0,54.73769
2023-02-24,52.9,54.631683
2023-02-27,52.5,54.393448
2023-02-28,52.6,54.05951
2023-03-01,52.7,53.854343
2023-03-02,52.8,53.756016
2023-03-03,52.7,53.81306
2023-03-06,52.6,53.911533
2023-03-07,52.7,54.009083
2023-03-08,53.0,54.08596
2023-03-09,53.0,54.104256
2023-03-10,53.1,54.166695
2023-03-13,53.3,54.221275
2023-03-14,53.0,54.286022
2023-03-15,54.0,54.316746
2023-03-16,53.3,54.458645
2023-03-17,53.2,54.696598
2023-03-20,52.8,54.75171
2023-03-21,52.8,54.524727
2023-03-22,52.8,54.206135
2023-03-23,52.8,53.964153
2023-03-24,53.3,53.820892
2023-03-27,53.3,53.869106
2023-03-28,53.4,54.073254
2023-03-29,53.5,54.354507
2023-03-30,53.7,54.600277
2023-03-31,55.0,54.893806
2023-04-03,58.0,55.286102
2023-04-04,56.8,56.20785
2023-04-05,55.5,57.105827
2023-04-06,54.5,57.488304
2023-04-07,54.4,57.45353
2023-04-10,53.8,57.073338
2023-04-11,53.6,56.530228
2023-04-12,53.1,55.919937
2023-04-13,53.0,55.36173
2023-04-14,52.9,54.87756
2023-04-17,52.9,54.546337
2023-04-18,52.8,54.323654
2023-04-19,52.6,54.187588
2023-04-20,52.6,54.07669
2023-04-21,52.7,53.978622
2023-04-24,52.6,53.92492
2023-04-25,52.5,53.889595
2023-04-26,51.9,53.85367
2023-04-27,50.5,53.697334
2023-04-28,52.1,53.311234
2023-05-04,51.3,52.95843
2023-05-05,50.7,52.71914
2023-05-08,50.9,52.47423
2023-05-09,50.6,52.282257
2023-05-10,50.6,52.137943
2023-05-11,50.5,52.040897
2023-05-12,51.7,51.964775
2023-05-15,54.4,52.075188
2023-05-16,52.9,52.951656
2023-05-17,53.2,53.675503
2023-05-18,53.2,54.10366
2023-05-19,52.5,54.38122
2023-05-22,52.1,54.41202
2023-05-23,52.6,54.24433
2023-05-24,52.6,54.12242
2023-05-25,52.6,54.033558
2023-05-26,52.0,53.979733
2023-05-29,52.7,53.880486
2023-05-30,52.4,53.83153
2023-05-31,52.0,53.83068
2023-06-01,52.0,53.78267
2023-06-02,52.0,53.628036
2023-06-05,52.1,53.489822
2023-06-06,53.2,53.41332
2023-06-07,52.8,53.513996
2023-06-08,52.4,53.706825
2023-06-09,52.3,53.827457
2023-06-12,53.4,53.845337
2023-06-13,54.1,53.984512
2023-06-14,53.8,54.321392
2023-06-15,53.5,54.70209
2023-06-16,53.5,54.935337
2023-06-19,52.1,54.99778
2023-06-20,52.0,54.757164
2023-06-21,52.4,54.32266
2023-06-22,52.4,53.94688
2023-06-23,52.0,53.731422
2023-06-26,52.2,53.580215
2023-06-27,52.4,53.504673
2023-06-28,52.2,53.554153
2023-06-29,51.8,53.5883
2023-06-30,51.0,53.539272
2023-07-03,51.1,53.32284
2023-07-04,51.3,53.075916
2023-07-05,51.0,52.861286
2023-07-06,50.4,52.693176
2023-07-07,50.1,52.45757
2023-07-10,50.9,52.12759
2023-07-11,50.8,51.90812
2023-07-12,51.4,51.80764
2023-07-13,51.5,51.896275
2023-07-14,51.4,52.11256
